Date,Model,Requests,Input tokens,Output tokens,Cost
2026-05-01,gpt-4o-mini,7490,7150406,2536545,2.5945
2026-05-01,gpt-4o,435,634592,540648,6.993
2026-05-01,text-embedding-3-small,336,1378188,0,0.0276
2026-05-02,gpt-4o-mini,6560,7034525,2011968,2.2624
2026-05-02,gpt-4o,466,760917,466716,6.5695
2026-05-02,text-embedding-3-small,485,2395380,0,0.0479
2026-05-03,gpt-4o-mini,6898,7239859,2083719,2.3362
2026-05-03,gpt-4o,331,469122,373745,4.9103
2026-05-03,text-embedding-3-small,495,2195389,0,0.0439
2026-05-04,gpt-4o-mini,6847,6770340,1931703,2.1746
2026-05-04,gpt-4o,222,326880,249876,3.316
2026-05-04,text-embedding-3-small,344,1733562,0,0.0347
2026-05-05,gpt-4o-mini,5997,5217304,1652846,1.7743
2026-05-05,gpt-4o,238,315969,296344,3.7534
2026-05-05,text-embedding-3-small,378,1616752,0,0.0323
2026-05-06,gpt-4o-mini,7086,7890889,2122881,2.4574
2026-05-06,gpt-4o,430,659154,543622,7.0841
2026-05-06,text-embedding-3-small,296,1414709,0,0.0283
2026-05-07,gpt-4o-mini,6336,5449338,1940653,1.9818
2026-05-07,gpt-4o,209,312933,247462,3.257
2026-05-07,text-embedding-3-small,317,1563982,0,0.0313
2026-05-08,gpt-4o-mini,6275,6194052,1941210,2.0938
2026-05-08,gpt-4o,214,349629,210677,2.9808
2026-05-08,text-embedding-3-small,246,1076764,0,0.0215
2026-05-09,gpt-4o-mini,7482,7798819,2375201,2.5949
2026-05-09,gpt-4o,491,784264,556145,7.5221
2026-05-09,text-embedding-3-small,347,1412344,0,0.0282
2026-05-10,gpt-4o-mini,6597,6057400,1933737,2.0689
2026-05-10,gpt-4o,417,641681,459510,6.1993
2026-05-10,text-embedding-3-small,310,1489621,0,0.0298
2026-05-11,gpt-4o-mini,7051,7188776,2240092,2.4224
2026-05-11,gpt-4o,492,783882,484786,6.8076
2026-05-11,text-embedding-3-small,291,1260171,0,0.0252
2026-05-12,gpt-4o-mini,4050,4337279,1373326,1.4746
2026-05-12,gpt-4o,413,695826,402892,5.7685
2026-05-12,text-embedding-3-small,300,1546360,0,0.0309
2026-05-13,gpt-4o-mini,5205,5731991,1482868,1.7495
2026-05-13,gpt-4o,254,349841,288443,3.759
2026-05-13,text-embedding-3-small,336,1378451,0,0.0276
2026-05-14,gpt-4o-mini,7737,7350534,2250191,2.4527
2026-05-14,gpt-4o,224,372642,277665,3.7083
2026-05-14,text-embedding-3-small,409,1829919,0,0.0366
2026-05-15,gpt-4o-mini,6687,6134529,1977476,2.1067
2026-05-15,gpt-4o,378,524173,425483,5.5653
2026-05-15,text-embedding-3-small,379,1664018,0,0.0333
2026-05-16,gpt-4o-mini,6224,6747741,1742613,2.0577
2026-05-16,gpt-4o,353,452155,407350,5.2039
2026-05-16,text-embedding-3-small,283,1257831,0,0.0252
2026-05-17,gpt-4o-mini,4341,3801000,1496423,1.468
2026-05-17,gpt-4o,248,349634,257245,3.4465
2026-05-17,text-embedding-3-small,414,1822082,0,0.0364
2026-05-18,gpt-4o-mini,7389,6735383,2011004,2.2169
2026-05-18,gpt-4o,485,800955,547496,7.4773
2026-05-18,text-embedding-3-small,456,2221614,0,0.0444
2026-05-19,gpt-4o-mini,4193,4236342,1250763,1.3859
2026-05-19,gpt-4o,421,642798,415202,5.759
2026-05-19,text-embedding-3-small,463,2309634,0,0.0462
2026-05-20,gpt-4o-mini,4799,4471182,1611354,1.6375
2026-05-20,gpt-4o,361,526673,340559,4.7223
2026-05-20,text-embedding-3-small,487,2333490,0,0.0467
2026-05-21,gpt-4o-mini,4832,4906977,1342571,1.5416
2026-05-21,gpt-4o,454,582876,440087,5.8581
2026-05-21,text-embedding-3-small,438,2012061,0,0.0402
2026-05-22,gpt-4o-mini,7675,7072165,2025814,2.2763
2026-05-22,gpt-4o,295,507378,334546,4.6139
2026-05-22,text-embedding-3-small,364,1461627,0,0.0292
2026-05-23,gpt-4o-mini,4822,5395339,1235252,1.5505
2026-05-23,gpt-4o,462,742044,561275,7.4679
2026-05-23,text-embedding-3-small,311,1265750,0,0.0253
2026-05-24,gpt-4o-mini,6747,7159807,2273443,2.438
2026-05-24,gpt-4o,396,565811,404161,5.4561
2026-05-24,text-embedding-3-small,394,1821027,0,0.0364
2026-05-25,gpt-4o-mini,6308,6015041,2047861,2.131
2026-05-25,gpt-4o,425,706554,428161,6.048
2026-05-25,text-embedding-3-small,479,1906046,0,0.0381
2026-05-26,gpt-4o-mini,6106,6828740,1996582,2.2223
2026-05-26,gpt-4o,408,609205,450477,6.0278
2026-05-26,text-embedding-3-small,208,947690,0,0.019
2026-05-27,gpt-4o-mini,7430,6801473,2325997,2.4158
2026-05-27,gpt-4o,203,270908,250134,3.1786
2026-05-27,text-embedding-3-small,297,1245206,0,0.0249
2026-05-28,gpt-4o-mini,7217,7281220,2369737,2.514
2026-05-28,gpt-4o,240,335597,268290,3.5219
2026-05-28,text-embedding-3-small,352,1582795,0,0.0317
2026-05-29,gpt-4o-mini,7700,6570400,2058361,2.2206
2026-05-29,gpt-4o,486,810769,550223,7.5292
2026-05-29,text-embedding-3-small,467,2185411,0,0.0437
2026-05-30,gpt-4o-mini,6953,7817421,2035069,2.3937
2026-05-30,gpt-4o,389,586811,369744,5.1645
2026-05-30,text-embedding-3-small,392,1543217,0,0.0309
